db_id,target_table,target_total,realized_total,shortfall_total,overall_fulfillment_rate,requested_strategy_count,requested_strategies,feasible_strategy_count,shortfall_strategies,shortfall_reasons,report_path
train_station,station,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2pE,2pH,2pM",9,,,data/spider/qa/flexbench/train_station/generation_report.json
tvshow,tv_channel,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/spider/qa/flexbench/tvshow/generation_report.json
twitter_1,user_profiles,50,32,18,0.64,8,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM",8,"2iE,2iH,2iM",sparse_combinations:18,data/spider/qa/flexbench/twitter_1/generation_report.json
university_basketball,university,50,50,0,1.0,6,"0E,0H,0M,1pE,1pH,1pM",6,,,data/spider/qa/flexbench/university_basketball/generation_report.json
voter_1,contestants,50,50,0,1.0,5,"0E,1pE,1pM,2pE,2pM",5,,,data/spider/qa/flexbench/voter_1/generation_report.json
voter_2,student,50,26,24,0.52,6,"0E,0H,0M,1pE,1pH,1pM",6,"1pE,1pH,1pM",sparse_combinations:24,data/spider/qa/flexbench/voter_2/generation_report.json
wedding,people,50,15,35,0.3,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,"1pE,1pM,2pE,2pH,2pM",sparse_combinations:35,data/spider/qa/flexbench/wedding/generation_report.json
wine_1,appellations,50,50,0,1.0,8,"0E,0M,1pE,1pH,1pM,2pE,2pH,2pM",8,,,data/spider/qa/flexbench/wine_1/generation_report.json
workshop_paper,workshop,50,50,0,1.0,7,"0E,0M,1pE,1pM,2pE,2pH,2pM",7,,,data/spider/qa/flexbench/workshop_paper/generation_report.json
world_1,country,50,50,0,1.0,9,"0E,0H,0M,1pE,1pH,1pM,2iE,2iH,2iM",9,,,data/spider/qa/flexbench/world_1/generation_report.json
wrestler,wrestler,50,20,30,0.4,5,"0E,0M,1pE,1pH,1pM",5,"1pE,1pH,1pM",sparse_combinations:30,data/spider/qa/flexbench/wrestler/generation_report.json
yelp,business,50,0,50,0.0,20,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",20,"0E,0M,1pE,1pH,1pM,2iE,2iH,2iM,2pE,2pH,2pM,3iE,3iH,3iM,3pE,3pH,3pM,4iE,4iH,4iM",sparse_combinations:44; no_valid_values:6,data/spider/qa/flexbench/yelp/generation_report.json
